Mouse,UniqueID,DateVR,CellNum,SessionVR,SessionTypeVR,Cell,DateOF,BoxSize,Tetrode,Cluster,SessionTypeOF,SessionOF,MeanRateOF,GridScore,CoherenceOF,StabilityOF,MVL,Coverage,BorderScore,SpeedScore,FieldSpacingOF,FieldSizeOF,MeanRateOF_SpeedFilt,PeakRateOF
Daenerys,Daenerys84,02/23/2016,84,0223_opticflow_1,optic_flow_track,T2C3,02/23/2016,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0223_3+_2+_1,6.374,-0.0553,0.634,0.545,0.421,94.59,0.437,0.212609919,61.19666667,23.488,6.939,23.105
Rihanna,Rihanna29,11/11/2015,29,1111_opticflow_1,optic_flow_track,T2C3,11/11/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1111_3+_2+_1,3.138,-0.0559,0.187,0.093,0.009,84.98,0.402,-0.084167553,41.74333333,19.827,2.097,6.081
Shakira,Shakira102,03/26/2016,102,0326_opticflow_1,optic_flow_track,T1C1,03/26/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0326_2+_1,0.194,-0.0607,0.332,0.207,0.456,96.17,-1,0.040362907,60.41666667,20.472,0.216,2.652
Daenerys,Daenerys21,02/11/2016,21,0211_opticflow_1,optic_flow_track,T2C1,02/11/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0211_5+_4+_3+_2+_1,4.434,-0.0652,0.402,0.199,0.08,96.85,0.471,0.170663386,49.86,15.358,4.812,10.085
Daenerys,Daenerys49,02/22/2016,49,0222_opticflow_1,optic_flow_track,T1C2,02/22/2016,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0222_2+_1,4,-0.0693,0.233,0.212,0.072,89.71,0.47,0.163545654,45.03333333,11.054,4.581,11.007
Beyonce,Beyonce43,09/28/2015,43,0928_opticflow_1,optic_flow_track,T2C3,09/28/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0928_4+_3+_2+_1,2.085,-0.0846,0.191,0.037,0.261,92.77,0.476,0.186576365,30.44333333,10.3,2.377,4.766
Shakira,Shakira41,03/09/2016,41,0309_opticflow_1,optic_flow_track,T1C3,03/09/2016,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0309_4+_3+_2+_1,0.83,-0.0851,0.109,0.107,0.239,96.77,0.09,0.017533511,49.53666667,12.508,0.832,2.424
Daenerys,Daenerys23,02/11/2016,23,0211_opticflow_1,optic_flow_track,T2C3,02/11/2016,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0211_5+_4+_3+_2+_1,1.62,-0.1051,0.327,-0.03,0.027,96.85,0.277,-0.020936381,43.72,11.496,1.739,4.809
Shakira,Shakira12,03/02/2016,12,0302_opticflow_1,optic_flow_track,T1C2,03/03/2016,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0303_3+_2+_1,0.657,-0.1169,0.24,0.388,0.471,94.74,-0.02,0.018746945,35.85666667,15.468,0.574,2.528
LilKim,LilKim28,11/10/2015,28,1110_opticflow_1,optic_flow_track,T1C2,11/11/2015,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1111_4+_3+_2+_1,2.466,-0.1219,0.628,0.346,0.112,81.08,-0.416,0.045505883,43.55666667,12.195,2.978,23.039
Shakira,Shakira59,03/15/2016,59,0315_opticflow_1,optic_flow_track,T1C2,03/15/2016,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0315_6+_5+_4+_3+_2+_1,1.381,-0.1233,0.679,0.552,0.218,96.25,0.504,0.083063785,58.55666667,28.013,1.665,4.961
Beyonce,Beyonce39,09/28/2015,39,0928_opticflow_1,optic_flow_track,T1C1,09/28/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0928_4+_3+_2+_1,4.857,-0.1239,0.087,0.127,0.189,92.77,0.479,0.122086066,32.66,11.054,5.3,9.239
Fiona,Fiona6,02/22/2016,6,0222_opticflow_1,optic_flow_track,T2C3,02/22/2016,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0222_4+_3+_2+_1,1.185,-0.1293,0.245,0.132,0.101,73.2,0.425,-0.010529342,39.01666667,10.742,1.56,3.854
Rihanna,Rihanna28,11/11/2015,28,1111_opticflow_1,optic_flow_track,T1C4,11/11/2015,91.4,1,4,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1111_3+_2+_1,0.893,-0.1309,0.297,-0.047,0.083,84.98,0.415,-0.000869514,32.04,10.742,0.886,2.952
Shakira,Shakira55,03/14/2016,55,0314_opticflow_1,optic_flow_track,T2C1,03/14/2016,91.4,2,1,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0314_lowgain_6+_5+_4+_2+_1,0.559,-0.132,0.648,0.624,0.567,95.27,0.693,-0.064398434,47.60333333,22.457,0.628,5.326
Ariana,Ariana63,08/30/2016,63,0830_opticflow_1,optic_flow_track,T1C1,08/30/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0830_bigbox_2+_1,10.845,-0.132,0.291,0.295,0.073,93.47,0.472,0.111931206,42.77333333,15.155,11.414,18.885
Shakira,Shakira36,03/09/2016,36,0309_opticflow_1,optic_flow_track,T1C2,03/09/2016,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0309_4+_3+_2+_1,0.939,-0.1437,0.141,0.064,0.206,96.77,0.489,-0.1673122,34,10.429,0.844,1.991
Shakira,Shakira46,03/11/2016,46,0311_opticflow_1,optic_flow_track,T2C2,03/11/2016,91.4,2,2,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0311_3+_2+_1,0.716,-0.1597,0.365,0.475,0.516,97.01,0.031,0.083688202,62.74666667,22.569,0.757,3.153
Kesha,Kesha34,11/13/2015,34,1113_opticflow_1,optic_flow_track,T1C2,11/13/2015,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1113_5+_4+_3+_2+_1,3.088,-0.1617,0.59,0.255,0.205,95.8,-0.09,0.151463969,38.89666667,13.206,3.541,16.909
Rihanna,Rihanna25,11/11/2015,25,1111_opticflow_1,optic_flow_track,T1C3,11/11/2015,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1111_3+_2+_1,0.766,-0.1763,0.21,0.312,0.057,84.98,0.22,0.037084147,37.45,13.336,0.984,4.343
Christina,Christina28,08/26/2016,28,0826_opticflow_1,optic_flow_track,T2C3,08/26/2016,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0826_bigbox_2+_1,1.998,-0.1798,0.345,0.356,0.107,97.15,0.181,0.139203509,47.19666667,15.671,2.182,7.219
Fiona,Fiona42,03/04/2016,42,0304_opticflow_1,optic_flow_track,T1C3,03/04/2016,70,1,3,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0304_3+_2+_1,0.591,-0.193,0.38,0.016,0.201,95.24,-0.021,0.00793605,43.58666667,12.691,0.672,3.289
Winehouse,Winehouse38,11/17/2015,38,1117_opticflow_1,optic_flow_track,T2C1,11/17/2015,62,2,1,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1117_smallbox_5+_4+_3+_2+_1,4.463,-0.194,0.982,0.694,0.147,96,-0.073,0.106436064,32.31,11.883,5.139,22.506
Christina,Christina27,08/26/2016,27,0826_opticflow_1,optic_flow_track,T2C2,08/26/2016,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0826_bigbox_2+_1,0.698,-0.1999,0.345,0.377,0.287,97.15,0.442,0.010526392,53.27333333,17.18,0.664,4.721
Daenerys,Daenerys20,02/11/2016,20,0211_opticflow_1,optic_flow_track,T1C1,02/11/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0211_5+_4+_3+_2+_1,0.971,-0.2084,0.202,0.154,0.091,96.85,0.583,-0.197469269,44.09666667,15.597,0.9,2.317
JLo,JLo25,08/09/2016,25,0809_opticflow_1,optic_flow_track,T1C3,08/09/2016,62,1,3,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0809_1,0.362,-0.2101,0.704,0.586,0.204,99.36,-0.266,-0.000409674,46.38333333,12.251,0.361,2.962
Beyonce,Beyonce94,10/15/2015,94,1015_opticflow_1,optic_flow_track,T1C1,10/15/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1015_4+_3+_2+_1,4.911,-0.2116,0.63,0.095,0.027,95.54,-0.171,-0.038989876,71.44,16.608,5.067,22.566
Shakira,Shakira53,03/14/2016,53,0314_opticflow_1,optic_flow_track,T1C5,03/14/2016,91.4,1,5,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0314_lowgain_6+_5+_4+_2+_1,2.064,-0.2156,0.675,0.603,0.132,95.27,0.565,-0.004329695,45.91666667,28.933,2.256,10.09
Winehouse,Winehouse28,11/16/2015,28,1116_opticflow_1,optic_flow_track,T2C3,11/16/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_7+_6+_5+_4+_3+_2+_1,4.884,-0.2189,0.709,0.478,0.066,88.66,0.202,0.224479684,51.52666667,13.648,6.422,21.69
Shakira,Shakira110,03/29/2016,110,0329_opticflow_1,optic_flow_track,T2C1,03/29/2016,91.4,2,1,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0329_4+_3+_2+_1,1.07,-0.2304,0.683,0.644,0.136,92.34,0.609,0.078388566,78.03666667,31.895,1.073,7.419
Shakira,Shakira38,03/09/2016,38,0309_opticflow_1,optic_flow_track,T2C2,03/09/2016,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0309_4+_3+_2+_1,0.86,-0.2345,0.185,0.177,0.274,96.77,0.372,0.031768229,42.98333333,18.062,0.913,2.85
Winehouse,Winehouse32,11/17/2015,32,1117_opticflow_1,optic_flow_track,T2C5,11/16/2015,62,2,5,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_smallbox_5+_4+_3+_2+_1,2.67,-0.2377,0.864,0.618,0.033,97.92,-0.431,0.097003271,37.02,14.035,3.036,17.618
Shakira,Shakira78,03/18/2016,78,0318_opticflow_1,optic_flow_track,T1C4,03/18/2016,91.4,1,4,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0318_4+_3+_2+_1,0.509,-0.2394,0.591,0.769,0.455,95.35,0.711,0.059700125,52.12333333,28.971,0.597,3.907
Fiona,Fiona40,03/04/2016,40,0304_opticflow_1,optic_flow_track,T1C2,03/04/2016,70,1,2,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0304_3+_2+_1,15.931,-0.2408,0.837,0.351,0.028,95.24,0.386,-0.03949666,35.44333333,13.628,17.566,50.915
JLo,JLo51,08/26/2016,51,0826_opticflow_1,optic_flow_track,T2C2,08/26/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0826_second_1,1.361,-0.2455,0.283,0.278,0.044,95.83,0.494,0.11729042,28.27333333,9.987,1.467,2.935
Shakira,Shakira39,03/09/2016,39,0309_opticflow_1,optic_flow_track,T2C3,03/09/2016,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0309_4+_3+_2+_1,1.456,-0.2492,0.412,0.169,0.254,96.77,-0.269,-0.033459062,82.6,26.339,1.559,6.525
Christina,Christina25,08/26/2016,25,0826_opticflow_1,optic_flow_track,T1C3,08/26/2016,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0826_bigbox_2+_1,0.263,-0.2519,0.25,0.229,0.156,97.15,-0.462,0.026160697,47.72666667,13.648,0.277,1.37
Madonna,Madonna10,03/06/2016,10,0306_opticflow_1,optic_flow_track,T1C2,03/06/2016,70,1,2,normal,Z:\Users\MCampbell\Analysis\Madonna\OF\databaseFiles\Madonna\OF\0306_2+_1,0.395,-0.2531,0.288,0.697,0.365,93.75,0.503,0.088449346,43.62333333,21.428,0.442,3.206
Shakira,Shakira86,03/21/2016,86,0321_opticflow_1,optic_flow_track,T1C3,03/21/2016,91.4,1,3,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_4+_3+_2+_1,0.474,-0.2532,0.483,-0.072,0.522,95.65,0.664,0.097938601,46.48666667,24.464,0.541,5.189
Shakira,Shakira90,03/21/2016,90,0321_opticflow_1,optic_flow_track,T2C1,03/21/2016,91.4,2,1,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_noobject_4+_3+_2+_1,0.597,-0.254,0.631,0.543,0.196,95.87,-1,0.125618923,50.92666667,17.437,0.835,11.224
Shakira,Shakira44,03/11/2016,44,0311_opticflow_1,optic_flow_track,T1C1,03/11/2016,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0311_3+_2+_1,0.892,-0.2579,0.268,0.333,0.096,97.01,-0.239,0.140931793,41.16333333,17.823,0.994,5.651
Beyonce,Beyonce42,09/28/2015,42,0928_opticflow_1,optic_flow_track,T2C2,09/28/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0928_4+_3+_2+_1,1.017,-0.2597,0.047,0.043,0.257,92.77,0.494,0.158898926,31.08333333,9.675,1.02,2.034
Fiona,Fiona45,03/05/2016,45,0305_opticflow_1,optic_flow_track,T2C1,03/05/2016,70,2,1,noobject2,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0305_noobject_1,3.98,-0.2633,0.608,0.546,0.278,98.47,0.393,0.073246374,51.31333333,17.693,4.163,11.974
Beyonce,Beyonce145,11/02/2015,145,1102_opticflow_1,optic_flow_track,T2C10,11/01/2015,91.4,2,5,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1101_5+_4+_3+_2+_1,4.244,-0.2688,0.441,0.501,0.073,93.47,0.262,0.126260453,57.55666667,15.285,4.48,14.588
Shakira,Shakira40,03/09/2016,40,0309_opticflow_1,optic_flow_track,T2C4,03/09/2016,91.4,2,4,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0309_4+_3+_2+_1,0.732,-0.2707,0.454,0.326,0.174,96.77,0.266,0.052473098,30.18,14.898,0.732,2.531
Daenerys,Daenerys34,02/15/2016,34,0215_opticflow_1,optic_flow_track,T2C4,02/15/2016,91.4,2,4,noobject1,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0215_4,5.438,-0.2797,0.489,0.487,0.128,93.32,0.56,-0.234002179,75.27,23.963,3.379,10.825
Winehouse,Winehouse29,11/16/2015,29,1116_opticflow_1,optic_flow_track,T2C4,11/16/2015,91.4,2,4,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_7+_6+_5+_4+_3+_2+_1,0.391,-0.2799,0.192,0.082,0.096,88.66,0.279,0.329791753,52.70666667,15.726,0.684,3.325
Beyonce,Beyonce146,11/02/2015,146,1102_opticflow_1,optic_flow_track,T2C6,11/01/2015,91.4,2,6,noobject1,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1101_5+_4+_3+_2+_1,3.082,-0.2807,0.51,0.4,0.107,93.47,0.349,0.10383568,48.68666667,15.414,3.292,8.63
Shakira,Shakira66,03/15/2016,66,0315_opticflow_1,optic_flow_track,T2C3,03/15/2016,91.4,2,3,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0315_noobject_aftertwohours_1,2.523,-0.2873,0.919,0.649,0.066,96.62,0.235,0.03225432,52.85,32.96,2.733,14.925
Fiona,Fiona46,03/05/2016,46,0305_opticflow_1,optic_flow_track,T1C2,03/05/2016,70,1,2,noobject2,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0305_noobject_1,2.019,-0.2877,0.736,0.761,0.3,98.47,-0.276,-0.087780471,60.35333333,22.604,1.999,9.131
Beyonce,Beyonce103,10/22/2015,103,1022_opticflow_1,optic_flow_track,T1C2,10/22/2015,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1022_4+_3+_2+_1,2.426,-0.2911,0.695,0.6,0.215,94.22,-0.056,0.168880715,58.66,22.475,2.708,14.736
Christina,Christina29,08/28/2016,29,0828_opticflow_1,optic_flow_track,T1C1,08/28/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0828_bigbox_1,2.79,-0.2926,1.05,0.757,0.279,96.7,-0.152,0.197792882,70.34333333,28.696,3.423,26.957
Beyonce,Beyonce83,10/15/2015,83,1015_opticflow_1,optic_flow_track,T1C2,10/15/2015,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1015_4+_3+_2+_1,1.887,-0.2944,0.579,0.481,0.223,95.54,0.549,0.015216458,59.67333333,21.74,2.038,8.268
Shakira,Shakira112,03/29/2016,112,0329_opticflow_1,optic_flow_track,T2C3,03/29/2016,91.4,2,3,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0329_noobject_4+_3+_2+_1,0.175,-0.2984,0.242,0.239,0.189,96.32,0.563,-0.05292296,68.06333333,16.187,0.152,1.509
Ariana,Ariana73,09/01/2016,73,0901_opticflow_1,optic_flow_track,T2C1,09/01/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0901_1,19.18,-0.3018,0.153,0.265,0.058,88.96,0.485,0.379157962,41.65666667,14.952,21.387,31.239
Shakira,Shakira45,03/11/2016,45,0311_opticflow_1,optic_flow_track,T2C1,03/11/2016,91.4,2,1,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0311_3+_2+_1,2.411,-0.3342,0.689,0.726,0.175,97.01,0.671,0.129945165,68.62333333,32.393,2.555,17.931
Winehouse,Winehouse23,11/16/2015,23,1116_opticflow_1,optic_flow_track,T1C2,11/16/2015,62,1,2,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_smallbox_5+_4+_3+_2+_1,1.922,-0.3366,0.848,0.78,0.191,97.92,0.423,0.049804649,36.36333333,11.054,2.529,23.806
LilKim,LilKim27,11/10/2015,27,1110_opticflow_1,optic_flow_track,T1C1,11/10/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1110_5+_4+_3+_2+_1,1.11,-0.3402,0.454,0.153,0.193,84.51,0.486,0.168097424,59.34,24.078,1.592,8.661
LilKim,LilKim40,11/13/2015,40,1113_opticflow_1,optic_flow_track,T1C1,11/13/2015,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1113_5,1.283,-0.3503,0.974,0.693,0.141,97.22,-0.552,0.085709374,55.52,18.89,1.537,13.743
Beyonce,Beyonce98,10/15/2015,98,1015_opticflow_1,optic_flow_track,T2C2,10/15/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1015_4+_3+_2+_1,4.709,-0.3524,0.52,0.544,0.102,95.54,0.159,0.135769361,57.06666667,19.128,5.222,16.512
Shakira,Shakira87,03/21/2016,87,0321_opticflow_1,optic_flow_track,T1C4,03/21/2016,91.4,1,4,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_4+_3+_2+_1,0.846,-0.3548,0.499,0.55,0.143,95.65,0.192,0.037543706,42.94333333,24.83,0.91,5.138
Winehouse,Winehouse36,11/17/2015,36,1117_opticflow_1,optic_flow_track,T2C9,11/17/2015,62,2,9,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1117_smallbox_5+_4+_3+_2+_1,1.244,-0.357,0.526,0.327,0.085,96,0.472,0.085959402,39.41,13.519,1.403,3.591
Beyonce,Beyonce105,10/22/2015,105,1022_opticflow_1,optic_flow_track,T1C4,10/22/2015,91.4,1,4,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1022_4+_3+_2+_1,1.667,-0.3604,0.925,0.757,0.392,94.22,0.59,0.070424855,70,39.414,1.789,10.811
Fiona,Fiona48,03/07/2016,48,0307_opticflow_1,optic_flow_track,T1C1,03/07/2016,70,1,1,noobject1,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0307_4+_3+_2+_1,4.387,-0.3639,0.448,0.517,0.098,99.23,0.439,0.068034855,40.09,13.519,4.086,8.458
Beyonce,Beyonce97,10/15/2015,97,1015_opticflow_1,optic_flow_track,T2C1,10/15/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1015_4+_3+_2+_1,2.307,-0.368,0.588,0.622,0.035,95.54,0.372,-0.027944627,58.47333333,24.37,2.356,9.452
Shakira,Shakira49,03/14/2016,49,0314_opticflow_1,optic_flow_track,T1C1,03/14/2016,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0314_lowgain_6+_5+_4+_2+_1,3.308,-0.3707,0.881,0.852,0.126,95.27,-0.13,0.049237698,65.69333333,27.35,3.679,22.877
Shakira,Shakira58,03/15/2016,58,0315_opticflow_1,optic_flow_track,T1C1,03/16/2016,91.4,1,1,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0316_noobject_1,3.464,-0.3728,0.626,0.703,0.059,96.17,-0.203,0.082862918,82.20333333,25.198,3.843,12.737
Ariana,Ariana64,08/30/2016,64,0830_opticflow_1,optic_flow_track,T1C2,08/30/2016,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0830_bigbox_2+_1,0.711,-0.3763,0.625,0.852,0.614,93.47,0.635,0.042068349,43.91333333,23.819,0.692,2.6
Daenerys,Daenerys50,02/22/2016,50,0222_opticflow_1,optic_flow_track,T1C3,02/22/2016,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0222_2+_1,1.424,-0.3827,0.366,0.505,0.946,89.71,0.403,0.077911001,48.05666667,27.866,1.769,11.485
Shakira,Shakira94,03/21/2016,94,0321_opticflow_1,optic_flow_track,T2C5,03/21/2016,91.4,2,5,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_4+_3+_2+_1,0.207,-0.3889,0.498,0.629,0.35,95.65,0.395,0.13248043,55.84666667,21.374,0.244,3.205
LilKim,LilKim41,11/13/2015,41,1113_opticflow_1,optic_flow_track,T1C2,11/13/2015,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1113_5,1.053,-0.3902,0.802,0.681,0.154,97.22,-0.347,0.12083006,63.07,27.48,1.301,11.698
Shakira,Shakira60,03/15/2016,60,0315_opticflow_1,optic_flow_track,T1C3,03/15/2016,91.4,1,3,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0315_6+_5+_4+_3+_2+_1,0.725,-0.3941,1.031,0.69,0.276,96.25,-1,0.067115526,51.84666667,16.113,0.975,21.594
Rihanna,Rihanna23,11/11/2015,23,1111_opticflow_1,optic_flow_track,T1C1,11/11/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1111_3+_2+_1,1.659,-0.4011,0.326,0.062,0.277,84.98,0.539,0.012619849,52.68,23.506,1.885,6.357
Rihanna,Rihanna24,11/11/2015,24,1111_opticflow_1,optic_flow_track,T1C2,11/11/2015,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1111_3+_2+_1,0.593,-0.4012,0.525,0.461,0.169,84.98,0.357,0.131016044,52.76,19.515,0.922,10.411
Christina,Christina33,08/28/2016,33,0828_opticflow_1,optic_flow_track,T2C4,08/28/2016,91.4,2,4,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0828_bigbox_1,2.149,-0.4132,0.281,0.449,0.107,96.7,0.086,-0.034998892,39.31,14.66,2.118,8.289
Christina,Christina46,08/31/2016,46,0831_opticflow_1,optic_flow_track,T1C3,08/31/2016,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0831_1,2.967,-0.4134,0.401,0.581,0.135,95.5,0.844,-0.000882137,59.74666667,14.972,3.132,14.815
Shakira,Shakira104,03/26/2016,104,0326_opticflow_1,optic_flow_track,T2C1,03/26/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0326_2+_1,37.936,-0.4238,0.251,0.456,0.03,96.17,0.462,0.283508799,59.11,22.917,39.569,55.134
Shakira,Shakira92,03/21/2016,92,0321_opticflow_1,optic_flow_track,T2C3,03/21/2016,91.4,2,3,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_noobject_4+_3+_2+_1,2.055,-0.4252,0.684,0.737,0.239,95.87,0.698,0.101920687,54.39,32.741,2.461,16.392
Daenerys,Daenerys47,02/18/2016,47,0218_opticflow_1,optic_flow_track,T2C4,02/18/2016,91.4,2,4,noobject1,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0218_3,4.906,-0.4357,0.49,0.506,0.042,96.32,0.424,0.093560047,65.64,19.128,5.007,9.918
Shakira,Shakira51,03/14/2016,51,0314_opticflow_1,optic_flow_track,T1C3,03/14/2016,91.4,1,3,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0314_lowgain_6+_5+_4+_2+_1,2.359,-0.4448,0.352,0.584,0.088,95.27,-0.4,0.118271399,68.32666667,27.589,2.522,9.982
Shakira,Shakira62,03/15/2016,62,0315_opticflow_1,optic_flow_track,T1C5,03/15/2016,91.4,1,5,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0315_noobject_aftertwohours_1,0.531,-0.4485,0.564,0.568,0.287,96.62,0.365,-0.021449582,56.86333333,23.745,0.622,8.461
